Trigonometric	sin	cos	tan
0	0	1	0
1	0.017452406	0.999847695	0.017455065
2	0.034899497	0.999390827	0.034920769
3	0.052335956	0.998629535	0.052407779
4	0.069756474	0.99756405	0.069926812
5	0.087155743	0.996194698	0.087488664
6	0.104528463	0.994521895	0.105104235
7	0.121869343	0.992546152	0.122784561
8	0.139173101	0.990268069	0.140540835
9	0.156434465	0.987688341	0.15838444
10	0.173648178	0.984807753	0.176326981
11	0.190808995	0.981627183	0.194380309
12	0.207911691	0.978147601	0.212556562
13	0.224951054	0.974370065	0.230868191
14	0.241921896	0.970295726	0.249328003
15	0.258819045	0.965925826	0.267949192
16	0.275637356	0.961261696	0.286745386
17	0.292371705	0.956304756	0.305730681
18	0.309016994	0.951056516	0.324919696
19	0.325568154	0.945518576	0.344327613
20	0.342020143	0.939692621	0.363970234
21	0.35836795	0.933580426	0.383864035
22	0.374606593	0.927183855	0.404026226
23	0.390731128	0.920504853	0.424474816
24	0.406736643	0.913545458	0.445228685
25	0.422618262	0.906307787	0.466307658
26	0.438371147	0.898794046	0.487732589
27	0.4539905	0.891006524	0.509525449
28	0.469471563	0.882947593	0.531709432
29	0.48480962	0.874619707	0.554309051
30	0.5	0.866025404	0.577350269
31	0.515038075	0.857167301	0.600860619
32	0.529919264	0.848048096	0.624869352
33	0.544639035	0.838670568	0.649407593
34	0.559192903	0.829037573	0.674508517
35	0.573576436	0.819152044	0.700207538
36	0.587785252	0.809016994	0.726542528
37	0.601815023	0.79863551	0.75355405
38	0.615661475	0.788010754	0.781285627
39	0.629320391	0.777145961	0.809784033
40	0.64278761	0.766044443	0.839099631
41	0.656059029	0.75470958	0.869286738
42	0.669130606	0.743144825	0.900404044
43	0.68199836	0.731353702	0.932515086
44	0.69465837	0.7193398	0.965688775
45	0.707106781	0.707106781	1
46	0.7193398	0.69465837	1.035530314
47	0.731353702	0.68199836	1.07236871
48	0.743144825	0.669130606	1.110612515
49	0.75470958	0.656059029	1.150368407
50	0.766044443	0.64278761	1.191753593
51	0.777145961	0.629320391	1.234897157
52	0.788010754	0.615661475	1.279941632
53	0.79863551	0.601815023	1.327044822
54	0.809016994	0.587785252	1.37638192
55	0.819152044	0.573576436	1.428148007
56	0.829037573	0.559192903	1.482560969
57	0.838670568	0.544639035	1.539864964
58	0.848048096	0.529919264	1.600334529
59	0.857167301	0.515038075	1.664279482
60	0.866025404	0.5	1.732050808
61	0.874619707	0.48480962	1.804047755
62	0.882947593	0.469471563	1.880726465
63	0.891006524	0.4539905	1.962610506
64	0.898794046	0.438371147	2.050303842
65	0.906307787	0.422618262	2.144506921
66	0.913545458	0.406736643	2.246036774
67	0.920504853	0.390731128	2.355852366
68	0.927183855	0.374606593	2.475086853
69	0.933580426	0.35836795	2.605089065
70	0.939692621	0.342020143	2.747477419
71	0.945518576	0.325568154	2.904210878
72	0.951056516	0.309016994	3.077683537
73	0.956304756	0.292371705	3.270852618
74	0.961261696	0.275637356	3.487414444
75	0.965925826	0.258819045	3.732050808
76	0.970295726	0.241921896	4.010780934
77	0.974370065	0.224951054	4.331475874
78	0.978147601	0.207911691	4.704630109
79	0.981627183	0.190808995	5.144554016
80	0.984807753	0.173648178	5.67128182
81	0.987688341	0.156434465	6.313751515
82	0.990268069	0.139173101	7.115369722
83	0.992546152	0.121869343	8.144346428
84	0.994521895	0.104528463	9.514364454
85	0.996194698	0.087155743	11.4300523
86	0.99756405	0.069756474	14.30066626
87	0.998629535	0.052335956	19.08113669
88	0.999390827	0.034899497	28.63625328
89	0.999847695	0.017452406	57.28996163
90	1	6.12574E-17	1.63246E+16
91	0.999847695	-0.017452406	-57.28996163
92	0.999390827	-0.034899497	-28.63625328
93	0.998629535	-0.052335956	-19.08113669
94	0.99756405	-0.069756474	-14.30066626
95	0.996194698	-0.087155743	-11.4300523
96	0.994521895	-0.104528463	-9.514364454
97	0.992546152	-0.121869343	-8.144346428
98	0.990268069	-0.139173101	-7.115369722
99	0.987688341	-0.156434465	-6.313751515
100	0.984807753	-0.173648178	-5.67128182
101	0.981627183	-0.190808995	-5.144554016
102	0.978147601	-0.207911691	-4.704630109
